smiles,logPapp
CN(C)C(=O)Cc1n2cc(C)ccc2nc1c3ccc(C)cc3,-5.881546875329801
CN1CCN(CC1)C2=C3C=CC=CC3=Nc4ccc(Cl)cc4N2,-6.940810592926242
FC(F)(F)c1c(Cl)nc(N2CCNCC2)cc1,-5.551643468189366
O.CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)c4ccccc4)C(=O)C1=O,-3.9112814346919382
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-6.434628655913942
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(O)=O,-3.8316307321460954
c1ccc(C(NCCCOc2cc(CN3CCCCC3)ccc2)=O)cc1,-7.637250950389813
CC(C)(C)OC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CS3)C,-4.218206370154613
CCC(=O)N(C1CCN(CC1)CCc2ccccc2)c3ccccc3,-4.9813089053290796
CCOC(=O)c1cncn1C(C)c2ccccc2,-6.4680827705053625
CN(C)c1cc(C2=NC(N)=NN2)ccn1,-6.267630654409908
CN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,-5.651138712288339
IC1=C(N([H])[H])C=CC(C2=NC3=CC=C(O[H])C=C3S2)=C1,-4.987974908015229
O=C(C)Nc1cc(c2csc(N=C(N)N)n2)ccc1,-5.891218672803654
CN1[C@H]2CCC[C@@H]1CC(C2)NC(=O)c3nn(C)c4ccccc34,-6.256150260177639
C[S](=O)(=O)c1ccc(cc1)[C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl,-4.25946509835547
c1ccc(cc1)c1csc(n1)N=C(N)N,-4.984731813192432
CC(N)COc1c(C)cccc1C,-6.551871751706616
CCC(=O)O[C@@](Cc1ccccc1)([C@H](C)CN(C)C)c2ccccc2,-5.188930293808997
ClC1=CC=C(C2=C1)SC3=C(N2CCCNC)C=CC=C3,-6.100660855999137
CN(C)Cc1ccc(c2cccc(NC3C([N+]([O-])=O)=CC=N3)c2)o1,-5.537840674708279
Cn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)[C@H](O)c4ccccc4)C3=O)C(O)=O,-4.607666561917866
n(ccc1)c(c1)CCN(C)C,-4.124594249428579
O=C1N(CCC1)CCCCN2CCN(CC2)c3cc(C(F)(F)F)ccn3,-5.7660301208980265
COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,-5.200332337730588
c1(ccccc1)CC,-5.012961401379056
c1ccc(cc1N)c1csc(n1)N=C(N)N,-6.234264982307426
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(C)=O)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,-6.400747077296664
c1(c(cc(NC(CCC)=O)cc1)C(C)=O)OCC(CNC(C)C)O,-4.864422509812675
ClC1=CC=C(SC(C=CC=C2)=C2N3CCCN)C3=C1,-5.038068173798055
CN(C)Cc1ccc(CSCCNC2=C([N+]([O-])=O)C(Cc3ccccc3)=CN2)o1,-4.826570319885615
CNC(=NC#N)Nc1cccc(c1)c1csc(n1)N=C(N)N,-7.182637707786622
n(ccc1)c(c1)CCNC,-5.53071846050894
O=N([O-])C1=C(CN=C1NCCSCc2ncccc2)Cc3ccccc3,-5.015795905743584
[Cl-].CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13.[H+],-5.4514439559918975
c1(nc(NC(N)=[NH2])sc1)CSCCNC(=[NH]C#N)NC,-6.426900045064958
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C=O)[C@H]7[C@](O)([C@H](OC(C)=O)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,-6.048229137854031
CCC(NC(=O)c1c(c(nc2c1cccc2)c1ccccc1)C)c1ccccc1,-6.8656164113464815
ClC1=CC=CC(OC2CCN(CCC3CCCN3S(C4=CC(N([H])C=C5)=C5C=C4)(=O)=O)CC2)=C1,-4.095243568490848
CN(C)Cc1ccnc(c2cccc(NC3C([N+]([O-])=O)=CC=N3)c2)c1,-5.452257781290634
CNCCCC12CCC(c3ccccc13)c4ccccc24,-4.782681385813464
N1(Cc2cc(OCCCNc3nccs3)ccc2)CCCCC1,-5.445261324446863
OC(C)(C)c1onc(c2ncn3c2CN(C)C(c4c3cccc4Cl)=O)n1,-4.301938021722428
[Na+].CO\N=C(C(=O)N[C@@H]1[C@@H]2SCC(=C(N2C1=O)C([O-])=O)COC(C)=O)\c3csc(N)n3,-6.83856329868383
C1=CC=C2C(=C1)C3C(O3)C4=CC=CC=C4N2C(=O)N,-4.028884787919746
C1CCCCC1,-5.695776279822493
Cc1csc(n1)N=C(N)N,-4.499537427290003
CCCN(CCc1c2c(c(cc1)O)NC(=O)C2)CCC,-3.0292447654651005
Clc1cc2c(Oc3ccccc3C3CN(CC32)C)cc1,-5.308981311019651
CN(C)Cc1oc(CSCCNC2C([N+]([O-])=O)=CC=N2)cc1,-5.699965771640605
CO/N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)COC(N)=O)/c3occc3,-6.507404727754747
N1(Cc2cc(OCCCNc3oc4ccccc4n3)ccc2)CCCCC1,-5.313504869785451
OC12c3c(Oc4c(C)cccc4C2CN(CC1)C)cccc3,-4.370042324235937
[O-][N+](C1=CC=NC1NCCSCc2ccccn2)=O,-6.86484447028466
c12c(nc([nH]1)NC(OC)=O)cc(SCCC)cc2,-5.437785058957458
c1cccn2c1nc(c2)CCN,-5.136515286923174
Cc1ncc(n1CC(O)CCl)[N+]([O-])=O,-6.198960963379392
CCCN(CCc1c2c(ccc1)NC(=O)C2)CCC,-6.362362511299269
Clc1cc2c(Oc3ccccc3C3CNCC32)cc1,-6.73224635120994
CN(CCC=C1c2ccccc2CCc2ccccc12)C,-5.962325571225184
CO/N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)CSC3=NC(=O)C(=O)NN3C)/c4csc(N)n4,-5.958335086296903
N1(Cc2cccc(OCCCNc3ccccn3)c2)CCCCC1,-6.7795853977627125
OC12c3c(Oc4c(C)cccc4C2CNCC1)cccc3,-5.5473255897888265
[O-][N+](C1=CC=NC1NCCSCc2ncccc2Br)=O,-5.057690704498909
c12c3c(C(NC(C)=O)CCc2cc(c(c1OC)OC)OC)cc(=O)c(cc3)OC,-5.500959796318557
C1CCN(CC1)Cc1cc(OCCCO)ccc1,-4.832482290642606
Cc1ncsc1CCCl,-3.404584423174437
CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(c1)C(C)=O,-5.208197361614191
ClCC(F)(F)F,-6.4683417730920345
CN1C(=O)c2c(cccc2Cl)n2cnc(c2C1)c1noc(n1)C(C)C,-6.558656580945839
CO[C@]1(NC(=O)Cc2sccc2)[C@H]3SCC(=C(N3C1=O)C(O)=O)COC(N)=O,-4.1132623219666264
NC(CC=C)c1ccccc1c2noc3c2cccc3,-5.651736660138165
OC1C(N2CCC1)=NC(C)=C(CCN3CCC(CC3)c4c5ccc(F)cc5on4)C2=O,-3.7972492366228145
CC(=O)Nc1ccc(O)cc1,-4.507974913603118
CC(=O)Oc1ccccc1C(O)=O,-5.507368497522796
O=C1N=CN=C2NNC=C12,-5.206299118531031
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,-6.206158277351246
CN1C(=O)N(C)c2nc[nH]c2C1=O.CN3C(=O)N(C)c4nc[nH]c4C3=O.NCCN,-5.045979506845182
CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3,-6.397738727888858
O.O.O.CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(O)=O,-6.84375465568087
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(O)=O,-6.122473969763504
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-3.381464816487747
OC(=O)CCC(O)=O.FC(F)(F)c1ccc2Sc3ccccc3N(CCCN4CCN(CCC5OCCCO5)CC4)c2c1,-5.6769272806149225
OC1N=C(c2ccccc2)c3cc(Cl)ccc3NC1=O,-5.4433775603540715
O=C1Nc2ccccc2N1C3CCN(CCOc4ccccc4)CC3,-4.479683958196872
COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O,-6.166122420347863
CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@]2(O)CCC4=O)c35,-5.69757679638167
CN1CCCC(C1)CN2c3ccccc3Sc4ccccc24,-7.562917127941789
NC1=NC(=O)C(O1)c2ccccc2,-5.560347386284156
C[C@@H]1[C@H]2Cc3ccc(O)cc3[C@]1(C)CCN2CC=C(C)C,-5.828536628571711
CCc1cc(ccn1)C(N)=S,-5.14930110515628
COc1cc(cc(OC)c1O)[C@H]2[C@@H]3C(COC3=O)[C@H](O[C@@H]4O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]4O)c6cc7OCOc7cc26,-5.39331838389205
NC(N)=Nc1scc(CSCCC(N)=N[S](N)(=O)=O)n1,-5.361154864626278
OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F,-6.876601958451795
[Na+].[Na+].[Na+].[O-]C(=O)[P]([O-])([O-])=O,-6.00343306648581
NCC1(CCCCC1)CC(O)=O,-6.9822851095115475
[Na+].CCOc1ccc2ccccc2c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C([O-])=O,-5.556352318837449
CCN1C=C(C(O)=O)C(=O)c2ccc(C)nc12,-4.261259360055713
Cc1c(O)cccc1C(=O)N[C@@H](CSc2ccccc2)[C@H](O)CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C,-6.022128844185229
COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1,-5.770213076240388
CN1C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3,-4.580626614868293
[Cl-].CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)ccc(Cl)c4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O.[H+],-5.2045646027219545
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,-5.755382399007126
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(O)=O)c3ccccc3)C(=O)N2[C@H]1C(O)=O,-5.020425739563629
C[C@@](Cc1ccc(O)c(O)c1)(NN)C(O)=O,-5.809922607115985
CC(C)(C)NCC(O)COc1cccc2NC(=O)CCc12,-5.502958424139218
[Na+].Cc1sc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cn4cnnn4)C3=O)C([O-])=O)nn1,-4.550789715669914
CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CSc3ccncc3)C2=O)C(O)=O,-5.7279977189000215
OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,-6.312902154682692
CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34,-6.1966183587548525
CN1CCN(CC1)C2=Nc3ccccc3Cc4ccccc24,-5.506355554882481
OCCN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,-5.613857220167834
CCOC(=O)C1(CCN(C)CC1)c2ccccc2,-7.026283726799029
C1CCN(CC1)C2(CCCCC2)c3ccccc3,-4.81301366300382
NNCCc1ccccc1.O[S](O)(=O)=O,-5.213904838989267
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,-5.844268813487731
NC(=O)OCCCc1ccccc1,-5.541629672021028
CNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1,-5.493024502181458
NCC(O)c1ccc(O)c(O)c1,-5.244743826485657
COc1ccc2nc([nH]c2c1)[S](=O)Cc3ncc(C)c(OC)c3C,-3.848503502666165
Cc1onc(c2ccccc2)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(O)=O,-5.091604347306081
OC[C@H]1O[C@H](C[C@@H]1O)n2cnc3[C@H](O)CN=CNc23,-5.209691346924917
CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C([O-])=O,-6.1880498163057185
OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+]([O-])=O,-5.046569927327972
N[S](=O)(=O)c1cc2c(NC=N[S]2(=O)=O)cc1Cl,-6.623849449104599
CCCNC(=O)N[S](=O)(=O)c1ccc(Cl)cc1,-6.417447584505505
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)ccc(Cl)c4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O,-7.194655112935521
N[S](=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,-4.740209919246989
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,-5.317269458900233
CC(C)(Oc1ccc(Cl)cc1)C(O)=O,-4.931174469658098
Clc1ccccc1C(n2ccnc2)(c3ccccc3)c4ccccc4,-4.32989939506912
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO,-5.23008533604559
C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)CC(=O)[C@H]23,-4.705438288563011
OCC[C@@H]1CCN(CC\C=C2/c3ccc(F)cc3Sc4ccc(cc24)C(F)(F)F)CC1,-5.6825613456043715
Fc1ccc(cc1)C(CCCN2CCC(CC2)N3C(=O)Nc4ccccc34)c5ccc(F)cc5,-6.328203377558242
OCCN1CCN(CC\C=C/2c3ccccc3COc4ccc(Cl)cc24)CC1,-4.861763746954817
NC(=O)C1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)N3CCCCC3,-5.915242543328982
Clc1ccc2N(CC3CC3)C(=O)CN=C(c4ccccc4)c2c1,-4.655748456584105
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-4.590518537890542
CCC1(C(=O)NCNC1=O)c2ccccc2,-6.87224199413346
CCN(CC)CCOC(=O)c1ccc(N)cc1,-5.909136793203778
OC(CCN1CCCC1)(C2CCCCC2)c3ccccc3,-5.992360059834647
CN(C)CCCN1c2ccccc2Sc3ccccc13,-4.194485999277941
CC(C)NCC(O)COc1cccc2[nH]ccc12,-5.736936707983691
CO[C@@H]([C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]6C[C@@H](O[C@H]7C[C@@H](O[C@H]8C[C@](C)(O)[C@H](O)[C@@H](C)O8)[C@H](O)[C@@H](C)O7)[C@H](O)[C@@H](C)O6)C(=O)[C@@H](O)[C@@H](C)O,-5.760277543250457
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H]12,-3.5842644790139513
O=C1CN(CC2N1CCc3ccccc23)C(=O)C4CCCCC4,-5.931311741135245
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,-5.862699895147405
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,-7.9289323209332485
NC(CO)(CO)CO,-3.957927433313718
NC1[C@H]2CN(C[C@@H]12)c3nc4N(C=C(C(O)=O)C(=O)c4cc3F)c5ccc(F)cc5F,-6.715739484407456
NC(N)=O,-6.877136993311369
O=C1Oc2ccccc2C=C1,-5.043960425200305
Nc1ccc(cc1)[S](=O)(=O)c2ccc(N)cc2,-5.552415848707807
C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@H]3[C@H](CC(=O)[C@]12C)[C@@]4(C)CCC(=O)C[C@H]4CC3=O,-5.037753603558259
OC1=C(CC2=C(O)Oc3ccccc3C2=O)C(=O)c4ccccc4O1,-5.864486115380924
CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,-4.98880539220613
CC\C(c1ccc(O)cc1)=C(\CC)c2ccc(O)cc2,-5.234204375840388
C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]3[C@@H](O)C[C@@H](O[C@@H]3C)O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]7(C)[C@@H](CC[C@]67O)C8=CC(=O)OC8)C4,-5.4837602643590735
C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]3[C@@H](O)C[C@@H](O[C@@H]3C)O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4,-5.313923090255898
Clc1ccc2N(C3CCN(CCCN4C(=O)Nc5ccccc45)CC3)C(=O)Nc2c1,-6.4247776178563285
CC(CN1c2ccccc2Sc3ccccc13)N(C)C,-4.303038565220518
CCC(=O)c1ccc2Sc3ccccc3N(CC(C)N(C)C)c2c1,-6.694680000584026
CC(C)c1cccc(C(C)C)c1O,-5.614823400733228
CNCCCC1c2ccccc2C=Cc3ccccc13,-5.371346824407321
O=C1C=CNN=C1,-5.2673802684678925
Fc1ccccc1C2=NCC(=S)N(CC(F)(F)F)c3ccc(Cl)cc23,-4.007256020976959
CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)\C=C\c6cc(OC)c(OC)c(OC)c6,-5.813188739931697
CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c6cc(OC)c(OC)c(OC)c6,-5.283997007423026
CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-7.20660808097976
[H+].[Cl-].Clc1ccc2Sc3ccccc3N(CCCN4CCC5(CC4)NC(=O)CS5)c2c1,-5.734885795284014
OC1=C(C2CCC(CC2)c3ccc(Cl)cc3)C(=O)C(=O)c4ccccc14,-6.130696809795457
OC(=O)CCCCCCCC(O)=O,-6.9576483768519415
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,-7.366740850984619
CCC(C)C(N)C1=NC(CS1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(O)=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)NCCCC[C@@H]2NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(O)=O)NC(=O)[C@H](Cc3[nH]cnc3)NC(=O)[C@@H](Cc4ccccc4)NC(=O)[C@@H](NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC,-4.601811620645234
[Cl-].CC(C[N+](C)(C)C)OC(N)=O,-6.028484695741172
CC[N+](C)(C)Cc1ccccc1Br.Cc2ccc(cc2)[S]([O-])(=O)=O,-5.441096021838671
CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C,-6.037116384180307
c12[C@]34[C@@]56[C@H]([N@@](CC7CC7)CC4)Cc2ccc(c1O[C@H]3[C@](OC)([C@H](C5)[C@](C(C)(C)C)(C)O)CC6)O,-7.298657233696055
NCCc1ccc(O)c(O)c1,-4.6687434700405674
COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,-4.57228712824546
O.C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=O)C(=C(N)/O)/C(=O)[C@@]3(O)C(=O)C2=C(O)c4c(O)cccc14,-3.22792347512662
[Cl].CCCCOc1ccc(cc1)C(=O)CCN2CCCCC2,-4.6800873940339285
Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1,-4.723313432318696
CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(N)=O,-4.576656876959961
CN[C@@H](C)[C@H](O)c1ccccc1,-4.307723481084054
CNC[C@H](O)c1ccc(O)c(O)c1,-4.902869049085858
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,-6.832181892676639
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,-6.271281953237917
Nc1c2CCCCc2nc3ccccc13,-4.9228602832304365
CN1C(=O)C(O)N=C(c2ccccc2)c3cc(Cl)ccc13,-6.769419122656464
COc1cc2CCN3CC(CC(C)C)C(=O)CC3c2cc1OC,-4.645795596168233
CCCCCc1cc(O)c2[C@@H]3C=C(C)CC[C@H]3C(C)(C)Oc2c1,-7.336368496134051
COC1=CC=C2[C@H]3Cc4ccc(OC)c5O[C@@H]1[C@]2(CCN3C)c45,-6.013762062955818
CCSc1ccc2Sc3ccccc3N(CCCN4CCN(C)CC4)c2c1,-6.950005853955582
CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1,-7.322159262902781
CN1CCN(CC/C=C/2c3ccccc3Sc4ccc(cc24)[S](=O)(=O)N(C)C)CC1,-7.658369033457088
[Cl-].N[C@@H]1C[C@H]1c2ccccc2.[H+],-6.05428195578518
Clc1cccc(c1)N2CCN(CCCN3N=C4C=CC=CN4C3=O)CC2,-6.658776244001752
C[S](=O)(=O)OCCCCO[S](C)(=O)=O,-5.4100096711637535
CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C3=CCC=CC3)C2=O)C(O)=O,-5.60498831391053
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,-6.064428213922904
O.COC1CN(CCCOc2ccc(F)cc2)CCC1NC(=O)c3cc(Cl)c(N)cc3OC,-5.172001912026768
Nc1nc(Cl)nc2n(cnc12)[C@H]3C[C@H](O)[C@@H](CO)O3,-4.340227045254422
[Br-].C[N+]12CCC(CC1)C(C2)OC(=O)C(O)(c3ccccc3)c4ccccc4,-5.408483200405307
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O,-6.345666147061154
CCC(=C)C(=O)c1ccc(OCC(O)=O)c(Cl)c1Cl,-5.580402139675543
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C,-5.764591589548768
CC(Cc1ccc(O)cc1)NCC(O)c2cc(O)cc(O)c2,-6.884099709778314
OC[C@H]1O[C@H](C[C@@H]1O)N2C=C(F)C(=O)NC2=O,-5.675396216990489
Cc1onc(c1C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)c4c(F)cccc4Cl,-5.10621139397556
FC1=CNC(=O)NC1=O,-4.7561874318485975
N[S](=O)(=O)c1cc(C(O)=O)c(NCc2occc2)cc1Cl,-5.847222939907054
NC1=NC(=O)c2ncn(COC(CO)CO)c2N1,-4.897785138968809
[Br-].C[N+]1(C)CCC(C1)OC(=O)C(O)(C2CCCC2)c3ccccc3,-4.89357553092296
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3cccc(c3)C(F)(F)F,-4.8988915684883665
CN(C)CCCN1c2ccccc2Sc3ccc(cc13)C(F)(F)F,-7.908109521011097
CN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1,-6.586406536652578
OC(CCN1CCCCC1)(C2CCCCC2)c3ccccc3,-4.712166820145369
