standardized_smiles,logPapp
C=C1c2ccccc2CN(CCCN(C)C)c2ccccc21,-4.76837647520879
C=CC(N)CCC(=O)O,-6.373237724258195
C=CC1(C(C)CCC)C(=O)NC(=O)NC1=O,-4.918239993037402
C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1,-7.421507163467224
C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NOCC(=O)O)c3csc(N)n3)C2SC1,-4.034684143549356
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,-5.3737401270010405
C=CC1CNCCC1CCCc1ccnc2ccc(OC)cc12,-5.381496871226924
C=CC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,-6.102583589933109
C=CCC(CC)(CC)C(N)=O,-6.04039641009357
C=CCC(N)Cc1ccccc1,-5.5050468033793365
C=CCC(N)c1ccccc1-c1noc2ccccc12,-5.373950837342299
C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,-4.556927625364324
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-5.009751969072134
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,-6.104737169330653
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,-7.20660808097976
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-6.079594941102016
C=CCC1(C2C=CCCC2)C(=O)NC(=S)NC1=O,-4.815572840014473
C=CCC1(CC(=C)Br)C(=O)NC(=O)NC1=O,-6.559736173613183
C=CCC1(CC(C)(C)C)C(=O)NC(=O)NC1=O,-3.9286978731835
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,-5.628436582898949
C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O,-6.377373480108139
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-5.3769397495858815
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC,-7.245316779702893
C=CCN1C(=O)C(CC(C)C)NC1=S,-6.250917050340345
C=CCN1C(=O)OC(C)C1=O,-6.732170976004045
C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)CC21,-4.3409682455971526
C=CCN1CCC23CCCCC2C1Cc1ccc(O)cc13,-5.2307138381445935
C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,-4.4074290878820666
C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,-6.947171979009177
C=CCN1CCC23c4c5ccc(O)c4OC2C2(OC)C=CC3(CC2C(C)(O)CCC)C1C5,-4.965811944754342
C=CCN1CCC23c4c5ccc(OC(C)=O)c4OC2C(OC(C)=O)C=CC3C1C5,-5.223763457702759
C=CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)NC)c(N)cc1OC,-3.6500199787053673
C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC,-7.526340559244434
C=CCONC1=Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1,-4.515384530789355
C=CCSCC(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-],-6.07800448536501
C=COC=C,-5.565446131597623
C=COCC(F)(F)F,-5.503661620041151
C=NC(C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O)c1ccccc1,-4.486730636551888
CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,-3.8799914331435614
CC(=C(CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)nc1N,-6.916843719264479
CC(=C(CCOC(=O)c1ccccc1)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,-7.575169510781212
CC(=C(CCOC(=O)c1ccccc1)SSC(CCOC(=O)c1ccccc1)=C(C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,-7.040499791885809
CC(=C(CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,-4.869497918213266
CC(=C1CCOC(=O)S1)N(C=O)Cc1cnc(C)nc1N,-5.565646885120123
CC(=CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,-6.490355153400355
CC(=O)C1(N)Cc2c(O)c3c(c(O)c2C(OC2CC(O)C(O)CO2)C1)C(=O)c1ccccc1C3=O,-6.957707564296543
CC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-6.7580005713535805
CC(=O)C1(O)C(O)CC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-4.9393584694323165
CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-6.248650973968256
CC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,-7.361397609884858
CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1c(O)cccc1C3=O,-5.540738982786118
CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1ccccc1C3=O,-5.952733802952467
CC(=O)C12OC(C)(C)OC1CC1C3CCC4=CC(=O)CCC4(C)C3CCC12C,-5.924294593290512
CC(=O)C1=C(O)C2(O)C(=O)c3c(c(C)c4ccc(C)c(O)c4c3O)CC2C(N)C1=O,-4.915924202864013
CC(=O)C1CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3C(O)CC12C,-4.527920359282792
CC(=O)C1CCC2C3CC(C)C4=CC(=O)CCC4(C)C3C(O)CC12C,-5.581853832038067
CC(=O)C1CCC2C3CC(O)C45CC4CCC5(C)C3CCC12C,-6.807660564357441
CC(=O)C1CCC2C3CC=C4CC(OC(=O)CCC(=O)O)CCC4(C)C3CCC12C,-4.990205769509879
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-5.708298879663023
CC(=O)C1CCC2C3CCC4CC(C)(O)CCC4(C)C3CCC12C,-5.802445570054226
CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3C(=O)CC12C,-5.943545584637198
CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,-4.590518537890542
CC(=O)CC(c1ccccc1)c1c(O)oc2ccccc2c1=O,-5.805307078807028
CC(=O)N1CCN(C(=O)Cc2cc(F)cc(F)c2)C(CN2CCC(O)C2)C1,-6.90005929331817
CC(=O)N1CCN(C(=O)Cc2ccc(C(F)(F)F)cc2)C(CN2CCC(O)C2)C1,-6.120119366203338
CC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)C(CN2CCC(O)C2)C1,-5.867875626533606
CC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)C(CN2CCCC2)C1,-7.288981975319523
CC(=O)N1CCN(C(=O)Cc2ccc(S(C)(=O)=O)cc2)C(CN2CCC(O)C2)C1,-6.025087037397847
CC(=O)N1CCN(C(=O)Cc2ccc([N+](=O)[O-])cc2)C(CN2CCC(O)C2)C1,-4.509566672556516
CC(=O)N1CCN(C(=O)Cc2ccc([S+](C)[O-])cc2)C(CN2CCC(O)C2)C1,-7.069164326359008
CC(=O)N1CCN(C(=O)Cc2cccc([N+](=O)[O-])c2)C(CN2CCC(O)C2)C1,-5.167805754964499
CC(=O)N1CCN(C(=O)Cc2ccccc2)C(CN2CCC(O)C2)C1,-4.085670466971465
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,-4.943740992464214
CC(=O)NC(CCC(N)=O)C(=O)O,-4.871012391825984
CC(=O)NCC1(c2ccccc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,-4.6103156294186265
CC(=O)NCCCC(NC(C)=O)C(=O)O,-6.2470154522557335
CC(=O)NCCCN1CCN(c2cc(Cl)ccc2Cl)CC1,-5.173888748877522
CC(=O)NCCCOc1cccc(CN2CCCCC2)c1,-5.490821706552238
CC(=O)NCCn1c(C)cc(C=O)c1C,-3.95809556725147
CC(=O)NNC(=O)CC(O)(c1ccccc1)c1ccccc1,-5.452303004796437
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I,-4.726621806327954
CC(=O)Nc1ccc(O)cc1,-5.46289211683327
CC(=O)Nc1ccc(OC(=O)C2CCC(=O)N2)cc1,-7.285420113899671
CC(=O)Nc1ccc(OC(=O)c2ccccc2O)cc1,-3.912884858798443
CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,-6.238777453825126
CC(=O)Nc1ccc(OC(C)(C)C)cc1,-6.038135823208808
CC(=O)Nc1cccc(-c2csc(N=C(N)N)n2)c1,-5.891218672803654
CC(=O)Nc1cccc(O)c1,-5.381731897439226
CC(=O)Nc1nnc(S(N)(=O)=O)s1,-6.742049817042467
CC(=O)OC(C)C(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-6.243753296952433
CC(=O)OC(c1ccccc1)C1CCCCN1,-5.495629579868634
CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-6.967240617787246
CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,-5.745446082309229
CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,-6.009613486579174
CC(=O)OC1C=CC(C)=CCC(O)C=CC(C)=CC(NC(=O)C(C)=O)C2(C)C(=O)OC(C1)C(C)C2=O,-5.376011356629013
CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)C1=C(CCC=C(C)C)C(=O)O,-5.170127532899267
CC(=O)OC1CC2C(COC(=O)CC(C)C)=COC(OC(=O)CC(C)C)C2C12CO2,-6.05424057152184
CC(=O)OC1CCC2(C)C3CCC4(C)C(C(C)CCCC(C)C)CCC4C3CC(Br)C2C1Br,-3.473169614681117
CC(=O)OCC(=O)C1(O)C(C)CC2C3C=C(C)C4=Cc5c(cnn5-c5ccccc5)CC4(C)C3C(O)CC21C,-6.057584015027439
CC(=O)OCC(=O)C1(O)C(C)CC2C3CC(F)(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-5.78151453096169
CC(=O)OCC(=O)C1(O)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3C(O)CC21C,-6.96518484678483
CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-5.53827312945667
CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-6.3348406201147975
CC(=O)OCC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3C(O)CC21C,-7.386375865479237
CC(=O)OCC(=O)C1(O)CCC2C3CC(Cl)C4=CC(=O)C=CC4(C)C3C(=O)CC21C,-6.148651213733162
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(Cl)CC21C,-4.139920885590412
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-6.722011675371376
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,-3.798882972142141
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C,-7.681222115682097
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,-6.105268183294585
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-6.191029948142806
CC(=O)OCC(=O)C1(OC(=O)C(C)C)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-6.560694665592523
CC(=O)OCC(=O)C1(OC(=O)c2ccco2)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-6.782194110287252
CC(=O)OCC(=O)C1(OC(C)=O)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-5.585583552390148
CC(=O)OCC(=O)C12N=C(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,-3.675550744247439
CC(=O)OCC(=O)C12N=C(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C,-4.874225868284186
CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(C#N)=C4C=C(OCCCl)CCC4(C)C3(F)C(O)CC12C,-7.226823477121721
CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(C=O)=C4C=C(OCCCl)CCC4(C)C3(F)C(O)CC12C,-4.854664175133927
CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,-5.028254439970207
CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3C(O)CC12C,-5.127435221481627
CC(=O)OCC(=O)C12OC3(CCCC3)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,-7.002146476789461
CC(=O)OCC(=O)C1C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(Cl)C(O)CC21C,-5.542511326869191
CC(=O)OCC(=O)OCCC(SC(=O)c1ccco1)=C(C)N(C=O)Cc1cnc(C)nc1N,-5.234419523122368
CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,-4.90222075251747
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1,-6.027886422741901
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CCCC(N)C(=O)O)C2SC1,-3.789459623772993
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1,-5.7279977189000215
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1,-5.499647145944732
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,-6.760818265193254
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)c3c(-c4ccccc4Cl)noc3C)C2SC1,-6.817780233817243
CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)CC#N)C2SC1,-7.541474896506914
CC(=O)OCC1=COC(OC(=O)CC(C)C)C2C1=CC(OC(=O)CC(C)(C)OC(C)=O)C21CO1,-5.4001143334406425
CC(=O)OCC1=COC(OC(=O)CC(C)C)C2C1=CC(OC(=O)CC(C)C)C21CO1,-6.456665424578062
CC(=O)OCCC(SC(C)=O)=C(C)N(C=O)Cc1cnc(C)nc1N,-4.880397987091788
CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,-3.8086853134090455
CC(=O)OCOC(=O)C1N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1(C)C,-5.329413428761461
CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341,-4.955648277979507
CC(=O)Oc1ccccc1C(=O)O,-5.031245584982305
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,-5.597359783448932
CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,-4.676531446418704
CC(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,-6.772653968698028
CC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,-6.021401133347515
CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,-5.102931443273858
CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,-5.63097123466868
CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,-5.128439065659179
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-6.879610496859897
CC(C(=O)c1ccccc1)N(C)C,-5.255288982729328
CC(C)(C(=O)O)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,-5.046111670244097
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,-5.906783320472587
CC(C)(C)C(=O)NCCCC(=O)O,-4.261113927651561
CC(C)(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,-7.05742904718927
CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)C(N=CN3CCCCCC3)C2SC1(C)C,-6.823435892077296
CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1(C)C,-4.928788389138727
CC(C)(C)C(=O)SCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-5.133597100351292
CC(C)(C)C(O)C=Cc1ccc2c(c1)OCO2,-5.192531946354491
CC(C)(C)C1(O)CCN2CC3c4ccccc4CCc4cccc(c43)C2C1,-5.76583498738537
CC(C)(C)CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,-3.810359151317331
CC(C)(C)CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,-4.614985003005416
CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,-5.234238460952904
CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,-5.924034614929271
CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,-6.516086920530787
CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,-6.534661366034781
CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,-5.502958424139218
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,-4.206797498474988
CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,-6.220587647614121
CC(C)(C)NCC(O)c1ccc(O)c(NC(N)=O)c1,-5.207015298089735
CC(C)(C)NCC(O)c1ccccc1F,-5.503817423837575
CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,-4.701688740122446
CC(C)(C)OC(=O)c1ncn2c1C1CCCN1C(=O)c1c(Br)cccc1-2,-6.172383029470244
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,-4.940607870411029
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,-5.0850435451488405
CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,-5.823008586758161
CC(C)(CO)C(O)C(=O)NCCCC(=O)O,-6.154146459500065
CC(C)(O)C(C)(O)c1ccc(Cl)cc1,-4.436827790982759
CC(C)(O)C(C)(O)c1cccc(Cl)c1,-5.560465331469965
CC(C)(O)CC(C)(O)c1ccc(Cl)cc1,-5.486681926923903
CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)O,-4.107966698370895
CC(C)(Oc1ccc(Cl)cc1)C(=O)NC(C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O)c1ccccc1,-5.223386293425061
CC(C)(Oc1ccc(Cl)cc1)C(=O)O,-4.931174469658098
CC(C)(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,-3.917703441376759
CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,-5.828536628571711
CC(C)=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,-6.058381452293716
CC(C)=O,-5.639429639992377
CC(C)C(=O)OCC(=O)C12OC(C3CCCCC3)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C,-6.174919481454405
CC(C)C(=O)OCc1cccc(OC(=O)C2N3C(=O)C(NC(=O)Cc4ccccc4)C3SC2(C)C)c1,-3.4436700347114204
CC(C)C(Br)C(=O)NC(N)=O,-5.6262143467516825
CC(C)C(CCCCCC(=O)O)NCc1ccc(F)cc1,-4.447527768703862
CC(C)C(CN1CCCC1)N(C)C(=O)Cc1ccc(Cl)c(Cl)c1,-7.555071385115662
CC(C)C(N)C(=O)OCC(CO)OCn1cnc2c(=O)nc(N)[nH]c21,-6.237662421050235
CC(C)C(N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21,-5.792808200694554
CC(C)C(O)C1CCCCC1,-6.010490422889889
CC(C)C1(C(C)C)OCC(CO)O1,-3.332990701089457
CC(C)C1(O)CCN2CC3c4ccccc4CCc4cccc(c43)C2C1,-6.5969435780520405
CC(C)CC(CN)CC(=O)O,-5.112412441517907
CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,-5.738664903554045
CC(C)CC(OC(=O)c1ccco1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,-4.880511899155749
CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,-6.037116384180307
CC(C)CC1NC(=O)C(CCCN)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(CC(C)C)NC(=O)C(CCCN)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC1=O,-5.896885842087277
CC(C)CCC(=O)CC1c2ccccc2C(=O)N1c1ccc2ccc(Cl)nc2n1,-6.522479409337933
CC(C)CCNCC1COc2ccccc2O1,-5.838856898776779
CC(C)CCOC(CN1CCCC1)c1ccccc1,-5.807356840291809
CC(C)CO,-5.08923397777563
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,-5.735681909960405
CC(C)Cc1ccc(C(C)C(=O)O)cc1,-6.5239268380636215
CC(C)N(CCNC(=O)CN1CCCC1=O)C(C)C,-5.349555972067056
CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,-4.803646403372065
CC(C)N1CCN(c2ccc(OCC3COC(Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,-5.1212958546670535
CC(C)N1CCOC(c2ccc(C(F)(F)F)cc2)C1,-3.996329552399309
CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,-7.345425236891881
CC(C)NC(=O)OC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,-6.263248189437788
CC(C)NC1C2CCC(CC2)C1(O)c1ccc(Cl)c(Cl)c1,-5.465372305412839
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,-7.554876192141808
CC(C)NCC(O)COc1cccc2[nH]ccc12,-5.736936707983691
CC(C)NCC(O)COc1cccc2ccccc12,-5.606884837108666
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,-5.434803960719647
CC(C)NCC(O)c1ccc(O)c(O)c1,-4.098097822830684
CC(C)NNC(=O)COc1ccc(Cl)cc1,-4.253969949040598
CC(C)NNC(=O)c1ccncc1,-4.338568907361669
CC(C)NS(=O)(=O)CCN1C(=O)c2ccccc2C1=O,-5.217447421555746
CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,-5.420898192471607
CC(C)O,-6.376739433759412
CC(C)OCC(COC(C)C)OCn1cnc2cnc(N)nc21,-6.395756177740304
CC(C)Oc1ccccc1N1CCN(Cc2cccc(C(=O)N3CCCCC3)c2)CC1,-4.79352853501186
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,-4.731337270531499
CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-5.550913308576813
CC(C)c1cccc(C(C)C)c1O,-6.269457609960771
CC(C)c1ccccc1OCC1=NCCN1,-5.480681308855193
CC(C)c1nc(-c2ncn3c2CN(C)C(=O)c2c(Cl)cccc2-3)no1,-6.291903347885361
