smiles,hERG,standardized_smiles
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(C)=O)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,54,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1
c1(c(cc(NC(CCC)=O)cc1)C(C)=O)OCC(CNC(C)C)O,55,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1
ClC1=CC=C(SC(C=CC=C2)=C2N3CCCN)C3=C1,56,NCCCN1c2ccccc2Sc2ccc(Cl)cc21
CN(C)Cc1ccc(CSCCNC2=C([N+]([O-])=O)C(Cc3ccccc3)=CN2)o1,57,CN(C)Cc1ccc(CSCCNc2[nH]cc(Cc3ccccc3)c2[N+](=O)[O-])o1
CNC(=NC#N)Nc1cccc(c1)c1csc(n1)N=C(N)N,58,CNC(=NC#N)Nc1cccc(-c2csc(N=C(N)N)n2)c1
n(ccc1)c(c1)CCNC,59,CNCCc1ccccn1
[Cl-].CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13.[H+],61,CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C=O)[C@H]7[C@](O)([C@H](OC(C)=O)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,64,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1
CCC(NC(=O)c1c(c(nc2c1cccc2)c1ccccc1)C)c1ccccc1,65,CCC(NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1
ClC1=CC=CC(OC2CCN(CCC3CCCN3S(C4=CC(N([H])C=C5)=C5C=C4)(=O)=O)CC2)=C1,66,O=S(=O)(c1ccc2cc[nH]c2c1)N1CCCC1CCN1CCC(Oc2cccc(Cl)c2)CC1
CN(C)Cc1ccnc(c2cccc(NC3C([N+]([O-])=O)=CC=N3)c2)c1,67,CN(C)Cc1ccnc(-c2cccc(NC3N=CC=C3[N+](=O)[O-])c2)c1
CNCCCC12CCC(c3ccccc13)c4ccccc24,68,CNCCCC12CCC(c3ccccc31)c1ccccc12
N1(Cc2cc(OCCCNc3nccs3)ccc2)CCCCC1,69,c1cc(CN2CCCCC2)cc(OCCCNc2nccs2)c1
OC(C)(C)c1onc(c2ncn3c2CN(C)C(c4c3cccc4Cl)=O)n1,70,CN1Cc2c(-c3noc(C(C)(C)O)n3)ncn2-c2cccc(Cl)c2C1=O
[Na+].CO\N=C(C(=O)N[C@@H]1[C@@H]2SCC(=C(N2C1=O)C([O-])=O)COC(C)=O)\c3csc(N)n3,71,CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CSC12)c1csc(N)n1
C1=CC=C2C(=C1)C3C(O3)C4=CC=CC=C4N2C(=O)N,72,NC(=O)N1c2ccccc2C2OC2c2ccccc21
C1CCCCC1,73,C1CCCCC1
Cc1csc(n1)N=C(N)N,74,Cc1csc(N=C(N)N)n1
CCCN(CCc1c2c(c(cc1)O)NC(=O)C2)CCC,75,CCCN(CCC)CCc1ccc(O)c2c1CC(=O)N2
Clc1cc2c(Oc3ccccc3C3CN(CC32)C)cc1,76,CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1
CN(C)Cc1oc(CSCCNC2C([N+]([O-])=O)=CC=N2)cc1,77,CN(C)Cc1ccc(CSCCNC2N=CC=C2[N+](=O)[O-])o1
CO/N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)COC(N)=O)/c3occc3,78,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC12)c1ccco1
N1(Cc2cc(OCCCNc3oc4ccccc4n3)ccc2)CCCCC1,79,c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3o2)c1
OC12c3c(Oc4c(C)cccc4C2CN(CC1)C)cccc3,80,Cc1cccc2c1Oc1ccccc1C1(O)CCN(C)CC21
[O-][N+](C1=CC=NC1NCCSCc2ccccn2)=O,81,O=[N+]([O-])C1=CC=NC1NCCSCc1ccccn1
c12c(nc([nH]1)NC(OC)=O)cc(SCCC)cc2,82,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1
c1cccn2c1nc(c2)CCN,83,NCCc1cn2ccccc2n1
Cc1ncc(n1CC(O)CCl)[N+]([O-])=O,84,Cc1ncc([N+](=O)[O-])n1CC(O)CCl
CCCN(CCc1c2c(ccc1)NC(=O)C2)CCC,85,CCCN(CCC)CCc1cccc2c1CC(=O)N2
Clc1cc2c(Oc3ccccc3C3CNCC32)cc1,86,Clc1ccc2c(c1)C1CNCC1c1ccccc1O2
CN(CCC=C1c2ccccc2CCc2ccccc12)C,87,CN(C)CCC=C1c2ccccc2CCc2ccccc21
CO/N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)CSC3=NC(=O)C(=O)NN3C)/c4csc(N)n4,88,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CSC12)c1csc(N)n1
N1(Cc2cccc(OCCCNc3ccccn3)c2)CCCCC1,89,c1ccc(NCCCOc2cccc(CN3CCCCC3)c2)nc1
OC12c3c(Oc4c(C)cccc4C2CNCC1)cccc3,90,Cc1cccc2c1Oc1ccccc1C1(O)CCNCC21
[O-][N+](C1=CC=NC1NCCSCc2ncccc2Br)=O,91,O=[N+]([O-])C1=CC=NC1NCCSCc1ncccc1Br
c12c3c(C(NC(C)=O)CCc2cc(c(c1OC)OC)OC)cc(=O)c(cc3)OC,92,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2
C1CCN(CC1)Cc1cc(OCCCO)ccc1,93,OCCCOc1cccc(CN2CCCCC2)c1
Cc1ncsc1CCCl,94,Cc1ncsc1CCCl
CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(c1)C(C)=O,95,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1
ClCC(F)(F)F,96,FC(F)(F)CCl
CN1C(=O)c2c(cccc2Cl)n2cnc(c2C1)c1noc(n1)C(C)C,97,CC(C)c1nc(-c2ncn3c2CN(C)C(=O)c2c(Cl)cccc2-3)no1
CO[C@]1(NC(=O)Cc2sccc2)[C@H]3SCC(=C(N3C1=O)C(O)=O)COC(N)=O,98,COC1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC21
NC(CC=C)c1ccccc1c2noc3c2cccc3,99,C=CCC(N)c1ccccc1-c1noc2ccccc12
OC1C(N2CCC1)=NC(C)=C(CCN3CCC(CC3)c4c5ccc(F)cc5on4)C2=O,100,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O
CC(=O)Nc1ccc(O)cc1,101,CC(=O)Nc1ccc(O)cc1
CC(=O)Oc1ccccc1C(O)=O,102,CC(=O)Oc1ccccc1C(=O)O
O=C1N=CN=C2NNC=C12,103,O=c1ncnc2[nH][nH]cc1-2
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,104,CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O
CN1C(=O)N(C)c2nc[nH]c2C1=O.CN3C(=O)N(C)c4nc[nH]c4C3=O.NCCN,105,Cn1c(=O)c2[nH]cnc2n(C)c1=O
CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3,106,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
O.O.O.CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(O)=O,107,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(O)=O,108,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,109,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O
OC(=O)CCC(O)=O.FC(F)(F)c1ccc2Sc3ccccc3N(CCCN4CCN(CCC5OCCCO5)CC4)c2c1,110,FC(F)(F)c1ccc2c(c1)N(CCCN1CCN(CCC3OCCCO3)CC1)c1ccccc1S2
OC1N=C(c2ccccc2)c3cc(Cl)ccc3NC1=O,111,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
O=C1Nc2ccccc2N1C3CCN(CCOc4ccccc4)CC3,112,O=c1[nH]c2ccccc2n1C1CCN(CCOc2ccccc2)CC1
COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O,113,COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314
CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@]2(O)CCC4=O)c35,114,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5
CN1CCCC(C1)CN2c3ccccc3Sc4ccccc24,115,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
NC1=NC(=O)C(O1)c2ccccc2,116,NC1=NC(=O)C(c2ccccc2)O1
C[C@@H]1[C@H]2Cc3ccc(O)cc3[C@]1(C)CCN2CC=C(C)C,117,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C
CCc1cc(ccn1)C(N)=S,118,CCc1cc(C(N)=S)ccn1
COc1cc(cc(OC)c1O)[C@H]2[C@@H]3C(COC3=O)[C@H](O[C@@H]4O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]4O)c6cc7OCOc7cc26,119,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O
NC(N)=Nc1scc(CSCCC(N)=N[S](N)(=O)=O)n1,120,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1
OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F,121,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
[Na+].[Na+].[Na+].[O-]C(=O)[P]([O-])([O-])=O,122,O=C([O-])P(=O)([O-])[O-]
NCC1(CCCCC1)CC(O)=O,123,NCC1(CC(=O)O)CCCCC1
[Na+].CCOc1ccc2ccccc2c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C([O-])=O,124,CCOc1ccc2ccccc2c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-]
CCN1C=C(C(O)=O)C(=O)c2ccc(C)nc12,125,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
Cc1c(O)cccc1C(=O)N[C@@H](CSc2ccccc2)[C@H](O)CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C,126,Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C
COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1,127,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
[Cl-].CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)ccc(Cl)c4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O.[H+],129,CN(C)C1C(=O)C(=C(N)O)C(=O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,130,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(O)=O)c3ccccc3)C(=O)N2[C@H]1C(O)=O,131,CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2C1C(=O)O
C[C@@](Cc1ccc(O)c(O)c1)(NN)C(O)=O,132,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O
CC(C)(C)NCC(O)COc1cccc2NC(=O)CCc12,133,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2
[Na+].Cc1sc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cn4cnnn4)C3=O)C([O-])=O)nn1,134,Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1
CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CSc3ccncc3)C2=O)C(O)=O,135,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1
OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,136,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34,137,CCCN1CC(CSC)CC2c3cccc4[nH]cc(c34)CC21
CN1CCN(CC1)C2=Nc3ccccc3Cc4ccccc24,138,CN1CCN(C2=Nc3ccccc3Cc3ccccc32)CC1
OCCN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,139,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
CCOC(=O)C1(CCN(C)CC1)c2ccccc2,140,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
C1CCN(CC1)C2(CCCCC2)c3ccccc3,141,c1ccc(C2(N3CCCCC3)CCCCC2)cc1
NNCCc1ccccc1.O[S](O)(=O)=O,142,NNCCc1ccccc1
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,143,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
NC(=O)OCCCc1ccccc1,144,NC(=O)OCCCc1ccccc1
CNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1,145,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C
NCC(O)c1ccc(O)c(O)c1,146,NCC(O)c1ccc(O)c(O)c1
COc1ccc2nc([nH]c2c1)[S](=O)Cc3ncc(C)c(OC)c3C,147,COc1ccc2nc([S+]([O-])Cc3ncc(C)c(OC)c3C)[nH]c2c1
Cc1onc(c2ccccc2)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(O)=O,148,Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O
OC[C@H]1O[C@H](C[C@@H]1O)n2cnc3[C@H](O)CN=CNc23,149,OCC1OC(n2cnc3c2NC=NCC3O)CC1O
CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C([O-])=O,150,CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)[O-]
OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+]([O-])=O,151,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
N[S](=O)(=O)c1cc2c(NC=N[S]2(=O)=O)cc1Cl,152,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O
CCCNC(=O)N[S](=O)(=O)c1ccc(Cl)cc1,153,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
N[S](=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,155,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,156,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
CC(C)(Oc1ccc(Cl)cc1)C(O)=O,157,CC(C)(Oc1ccc(Cl)cc1)C(=O)O
Clc1ccccc1C(n2ccnc2)(c3ccccc3)c4ccccc4,158,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO,159,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12
C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)CC(=O)[C@H]23,160,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO
OCC[C@@H]1CCN(CC\C=C2/c3ccc(F)cc3Sc4ccc(cc24)C(F)(F)F)CC1,161,OCCC1CCN(CCC=C2c3ccc(F)cc3Sc3ccc(C(F)(F)F)cc32)CC1
Fc1ccc(cc1)C(CCCN2CCC(CC2)N3C(=O)Nc4ccccc34)c5ccc(F)cc5,162,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
OCCN1CCN(CC\C=C/2c3ccccc3COc4ccc(Cl)cc24)CC1,163,OCCN1CCN(CCC=C2c3ccccc3COc3ccc(Cl)cc32)CC1
NC(=O)C1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)N3CCCCC3,164,NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1
Clc1ccc2N(CC3CC3)C(=O)CN=C(c4ccccc4)c2c1,165,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,166,CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
CCC1(C(=O)NCNC1=O)c2ccccc2,167,CCC1(c2ccccc2)C(=O)NCNC1=O
CCN(CC)CCOC(=O)c1ccc(N)cc1,168,CCN(CC)CCOC(=O)c1ccc(N)cc1
OC(CCN1CCCC1)(C2CCCCC2)c3ccccc3,169,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1
CN(C)CCCN1c2ccccc2Sc3ccccc13,170,CN(C)CCCN1c2ccccc2Sc2ccccc21
CC(C)NCC(O)COc1cccc2[nH]ccc12,171,CC(C)NCC(O)COc1cccc2[nH]ccc12
